1|Serbia|Novi Sad
2|Serbia|Belgrade
3|Serbia|Nis
4|Serbia|Kraljevo
5|Serbia|Kragujevac
6|Serbia|Zrenjanin
7|Serbia|Apatin
8|Bosnia and Herzegovina|Sarajevo
9|Bosnia and Herzegovina|Bijeljina
10|Bosnia and Herzegovina|Banja Luka
11|Bosnia and Herzegovina|Trebinje
12|Bosnia and Herzegovina|Bihac
13|Bosnia and Herzegovina|Visegrad
14|Bosnia and Herzegovina|Brcko
15|Spain|Barcelona
16|Spain|Madrid
17|Spain|Palma de Mallorca
18|Spain|Seville
19|Mauritania|Nouakchott
20|Croatia|Dubrovnik
21|Croatia|Zagreb
22|Croatia|Rijeka
23|Croatia|Split
24|France|Paris
25|France|Marseille
26|France|Cannes
27|France|Lyon
28|France|Nice
29|Denmark|Copenhagen
30|Montenegro|Podgorica
31|Montenegro|Budva
32|Montenegro|Tivat
33|Montenegro|Bar
34|Montenegro|Kotor
35|Montenegro|Herceg Novi
